id,username,title,date,actual_title,actual_username,members_count,chat_type,created_date,check_date,online_count,slow_mode_delay,pinned_message_id,linked_chat_id,can_send_messages,access_status,error_message
1692701695,bookeruditkz,Книжый Центр Эрудит | Книги | Саморазвитие,2025-08-28,Книжый Центр Эрудит | Книги | Саморазвитие,https://t.me/bookeruditkz,1722,supergroup,2023-02-10 09:18:07,2025-11-04 17:29:34,324,0,4237,0,не ясно,success,
2373819701,sessiazoom,ЭНЕРГОСЕССИЯ,2025-08-29,ЭНЕРГОСЕССИЯ,https://t.me/sessiazoom,50,supergroup,2024-10-08 14:28:13,2025-11-04 17:29:40,14,0,230,0,не ясно,success,
1153221071,DeloDlyaTelaCHAT,DeloDlyaTela Йога Чат,2025-08-20,DeloDlyaTela Йога Чат,https://t.me/DeloDlyaTelaCHAT,242,supergroup,2018-07-19 08:53:23,2025-11-04 17:29:48,8,0,15594,1227368949,не ясно,success,
1559772377,RazvivaiSPB,Практики Ретриты СПБ | Мероприятия Питер | Самопознание | Саморазвитие,2025-08-24,Практики Ретриты СПБ | Мероприятия Питер | Самопознание | Саморазвитие,https://t.me/RazvivaiSPB,1869,supergroup,2021-06-28 17:12:18,2025-11-04 17:29:57,203,0,157127,0,не ясно,success,
1519539782,WebAcadem_chat,"ЭЛЯ l Инфобизнес💬Бесплатные курсы, обучение, практики",2025-08-29,"ЭЛЯ l Инфобизнес💬Бесплатные курсы, обучение, практики",https://t.me/WebAcadem_chat,3161,supergroup,2022-04-06 15:53:37,2025-11-04 17:30:07,87,3600,574751,1224712007,не ясно,success,
1457365510,avtonomhome,☀️ЖИВЫЕ ЛЮДИ. Чат про ЖИЗНЬ! Голодание. Питание. ЗОЖ. Энергетические практики. Эзотерика. Здоровье. Лишний вес. Сода.,2025-08-19,☀️ЖИВЫЕ ЛЮДИ. Чат про ЖИЗНЬ! Голодание. Питание. ЗОЖ. Энергетические практики. Эзотерика. Здоровье. Лишний вес. Сода.,https://t.me/avtonomhome,140,supergroup,2020-11-02 06:16:15,2025-11-04 17:30:14,25,0,86998,0,не ясно,success,
1710349374,buznessRu,МОСКВА| ПИТЕР| ПРАКТИКИ| ЙОГА| ТАНТРА,2025-08-29,МОСКВА| ПИТЕР| ПРАКТИКИ| ЙОГА| ТАНТРА,https://t.me/buznessRu,3926,supergroup,2022-08-22 18:40:15,2025-11-04 17:30:20,197,0,539494,0,не ясно,success,
1668370888,createyourselfeverymoment,Саморазвитие,2025-08-25,Саморазвитие,https://t.me/createyourselfeverymoment,92,supergroup,2021-10-19 16:51:10,2025-11-04 17:30:26,19,0,4201,1842415064,не ясно,success,
1720240108,energo_yoga7,Йога Цигун Пранаяма&Асаны растяжка,2025-08-20,Йога Цигун Пранаяма&Асаны растяжка,https://t.me/energo_yoga7,188,supergroup,2022-01-11 06:05:14,2025-11-04 17:30:35,51,0,3970,0,не ясно,success,
1538161359,fillupchat,FILL UP Чат — саморазвитие и мотивация,2025-08-20,Дмитрий Севальнев: чат,https://t.me/fillupchat,40,supergroup,2021-07-18 15:13:11,2025-11-04 17:30:42,10,10,3745,1428379788,не ясно,success,
